MODEL,SN,LSET,RUN,JOB,EYE,DATETIME,LTYPE,INSDRSPH,INSDRCYL,INSDRAX,INSDRPRVM,INSDRPRVA,INSPRSPH,INSPRCYL,INSPRAX,INSPRPRVM,INSPRPRVA,INSNRSPH,INSNRCYL,INSNRAX,INSNRPRVM,INSNRPRVA,INSCTHK,INSDIA,INSGMC,INSAV,INSDOT,INSDBPH,INSDBPV,INSDBPA,FLAG,COMMENT
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,DDV009,R,2018-05-03T11:19:00Z,NA,1.582,0.442,131.313,2.994042752,-89.69381304,1.926,0.744,135.731,1.448859552,-82.66406786,3.569,0.836,115.048,2.828994521,98.06708962,2.825,64.197,0.062,0.022,0.171,0.044,-0.14,-0.403,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,DDV009,R,2018-05-03T11:18:00Z,NA,1.5805,0.443,131.199,2.963043199,-90.30939033,1.923,0.75,135.664,1.420265116,-83.81573294,3.574,0.832,115.122,2.85160674,98.67283739,2.822,64.2,0.061,0.023,0.17,0.032,-0.14,-0.382,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,DDV010,R,2018-05-03T09:47:00Z,NA,0.2315,3.763,134.688,3.486437867,-113.6754869,0.523,4.136,135.114,1.305469264,-88.46369987,2.5325,3.807,132.544,3.246424495,66.89410602,4.179,64.402,0.073,0.069,0.1,2.613,-0.325,-13.939,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,DDV010,R,2018-05-03T09:46:00Z,NA,0.2315,3.767,134.665,3.507356412,-113.436687,0.5165,4.145,135.139,1.328663991,-88.18853849,2.5335,3.803,132.417,3.207703228,66.24788962,4.18,64.38,0.071,0.068,0.106,2.623,-0.305,-13.952,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,DDV010,R,2018-05-03T09:45:00Z,NA,0.2315,3.769,134.731,3.499343081,-113.4221827,0.518,4.144,135.143,1.316577761,-88.30252159,2.537,3.798,132.443,3.219673586,66.51633496,4.183,64.38,0.071,0.068,0.11,2.613,-0.318,-13.938,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,DDV011,R,2018-05-03T09:42:00Z,NA,5.671,0.352,148.572,6.324061986,-90.25367985,5.968,0.742,140.719,1.608117222,-85.89915241,8.0935,0.569,127.013,8.320311653,105.1536526,6.303,63.981,0.104,0.026,0.213,-0.069,0.045,0.305,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,DDV011,R,2018-05-03T09:41:00Z,NA,5.673,0.342,148.246,6.291231755,-90.49179719,5.972,0.742,141.517,1.58949363,-86.79017733,8.095,0.566,127.461,8.347927228,105.2232145,6.304,63.985,0.101,0.027,0.211,-0.05,0.01,0.219,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,DDV011,R,2018-05-03T09:40:00Z,NA,5.679,0.338,147.799,6.296062261,-89.74519199,5.971,0.748,141.278,1.612742385,-83.69904118,8.0945,0.573,127.449,8.31090687,104.6147833,6.303,63.985,0.106,0.028,0.213,-0.066,0.028,0.271,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS003,R,2018-05-02T11:31:00Z,NA,-10.075,3.984,179.982,3.204327855,92.61149335,-9.8635,3.845,179.207,1.563830234,-95.35696499,-7.502,4.066,179.533,8.287253405,-74.87040075,1.897,64.934,0.08,-0.046,0.147,-0.156,0.409,0.113,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS003,R,2018-05-02T11:31:00Z,NA,-10.074,3.986,0.029,3.142677998,92.77227179,-9.859,3.848,179.156,1.628557644,-95.14346536,-7.504,4.076,179.619,8.327978987,-75.07434409,1.898,64.921,0.081,-0.042,0.153,-0.165,0.257,0.094,test,Made by Essilor in Creteil
